,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2398,CHEMBL2314618,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,11.0,active,1409.7830000000001,1.375799999999989,14.0,14.0,7.958607314841775
2399,CHEMBL2315178,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,26.0,active,1382.757,1.492699999999989,14.0,14.0,7.585026652029182
2400,CHEMBL2159511,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,4.0,active,1392.796,2.910399999999993,13.0,13.0,8.397940008672037
2401,CHEMBL2315168,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C#N)cc4)C4=C(OC[C@@H]23)C(F)(F)C=CC4=O)NS1(=O)=O,3.5,active,1409.7830000000001,1.375799999999989,14.0,14.0,8.455931955649724
2402,CHEMBL2315169,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C#N)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,4.7,active,1382.757,1.492699999999989,14.0,14.0,8.327902142064282
2403,CHEMBL2315170,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)C4=C(OC[C@@H]23)C(F)(F)C=CC4=O)NS1(=O)=O,3.9,active,1392.796,2.910399999999993,13.0,13.0,8.4089353929735
2404,CHEMBL1085611,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,1.9,active,1409.7830000000001,1.375799999999989,14.0,14.0,8.721246399047171
2405,CHEMBL2315171,O=C1C=CC(F)(F)C2=C1[C@]1(S(=O)(=O)c3ccc(C(F)(F)F)cc3)CC[C@@H](NS(=O)(=O)C3CC3)C[C@@H]1CO2,6.8,active,1382.757,1.492699999999989,14.0,14.0,8.167491087293763
2406,CHEMBL2315172,O=S(=O)(NC[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)C1CC1,92.0,active,1392.796,2.910399999999993,13.0,13.0,7.036212172654444
2407,CHEMBL2315173,O=C1C=CC(F)(F)C2=C1[C@]1(S(=O)(=O)c3ccc(C(F)(F)F)cc3)CCC[C@@H](CNS(=O)(=O)C(F)(F)F)[C@@H]1CO2,78.0,active,391.74199999999996,2.7815000000000003,2.0,4.0,7.107905397309519
2408,CHEMBL1085076,O=S(=O)(NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,54.0,active,1352.7310000000002,2.131799999999992,13.0,13.0,7.267606240177032
2409,CHEMBL2315174,CS(=O)(=O)CC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,1.9,active,1409.7830000000001,1.375799999999989,14.0,14.0,8.721246399047171
2410,CHEMBL2315175,CS(=O)(=O)CC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,43.0,active,1382.757,1.492699999999989,14.0,14.0,7.366531544420414
2411,CHEMBL2315176,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,21.0,active,1281.6519999999998,2.6254999999999953,12.0,12.0,7.6777807052660805
2412,CHEMBL2314616,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)cc3)c3c(F)ccc(F)c3OC[C@@H]12,66.0,active,1170.5079999999996,2.340599999999999,11.0,11.0,7.180456064458132
2413,CHEMBL2315177,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,1.8,active,1127.3549999999993,-0.607400000000001,1.0,12.0,8.744727494896694
2414,CHEMBL2314618,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,15.0,active,933.1209999999993,-0.5893999999999915,1.0,10.0,7.823908740944319
2415,CHEMBL2315178,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,1.2,active,641.7700000000001,-0.5623999999999916,1.0,7.0,8.920818753952375
2416,CHEMBL2159511,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,1.3,active,1127.3549999999993,-0.607400000000001,1.0,12.0,8.886056647693163
